UNDERLYING_LAST,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE
466.93,1/7/2022,0.08,0.66524,0.17383,0.08012,-0.43546,0.00579,0.09694,22468.0,1.42,466.0,0.002,-0.93
468.46,1/7/2022,2.0,0.64264,0.05412,0.15112,-0.51822,0.02216,0.17054,745.0,4.35,466.0,0.005,-2.46
466.93,1/7/2022,0.08,0.00436,0.00286,0.00238,-0.00467,-0.00025,0.18709,439.0,0.01,478.0,0.024,11.07
470.3,1/7/2022,2.02,0.02507,0.00989,0.02414,-0.04483,0.00123,0.14396,6908.0,0.05,482.0,0.025,11.7
470.3,1/7/2022,2.02,0.04257,0.01626,0.03699,-0.0708,0.00112,0.13613,45534.0,0.1,480.0,0.021,9.7
470.3,1/7/2022,2.02,0.02975,0.01211,0.02795,-0.05119,0.00092,0.13719,11229.0,0.07,481.0,0.023,10.7
466.93,1/7/2022,0.08,0.00548,0.00573,0.00318,-0.00487,-8e-05,0.1263,4106.0,0.01,474.0,0.015,7.07
466.93,1/7/2022,0.08,0.01525,0.01355,0.00896,-0.01439,0.00019,0.12697,5419.0,0.01,473.0,0.013,6.07
466.93,1/7/2022,0.08,0.00515,0.00467,0.00378,-0.00457,-3e-05,0.14191,4843.0,0.01,475.0,0.017,8.07
466.93,1/7/2022,0.08,0.00439,0.00331,0.00305,-0.005,-4e-05,0.1719,1271.0,0.01,477.0,0.022,10.07
466.93,1/7/2022,0.08,0.00495,0.00386,0.003,-0.00466,-0.0003,0.15745,1692.0,0.01,476.0,0.019,9.07
466.93,1/7/2022,0.08,0.88278,0.08258,0.04303,-0.11483,0.00588,0.113,2634.0,3.21,464.0,0.006,-2.93
468.46,1/7/2022,2.0,0.59095,0.05872,0.15749,-0.52343,0.01996,0.16345,517.0,3.45,467.0,0.003,-1.46
466.93,1/7/2022,0.08,0.79009,0.12425,0.06359,-0.25037,0.00682,0.10823,12769.0,2.26,465.0,0.004,-1.93
